Período;Inflación;Dólar Observado;Indice Actividad Minera;Indice Actividad Industria;Indice Actividad Resto de bienes;Indice Activdad Comercio;Indice Actividad Servicios;TPM;M1;M2;M3;Precio Petróleo (USD);Precio Cobre (USD);IPSA (CLP)
01-02-11;0.002;475.691;7.869.784.947.091;77.743.147.556.818;10.032.289.006.141;75.317.918.921.642;67.018.437.924.126;0.033375;271.419.659.416.624;102.244.371.100.995;17.389.198.533.131;96.97;44.965;4444.57
01-03-11;0.008;479.652.173.913.044;91.613.233.030.544;91.486.358.770.136;96.409.835.469.762;88.140.988.897.155;80.037.395.788.655;0.0371739130434783;26.813.618.872.344;102.536.596.954.994;173.704.908.817.132;106.72;4.317;4624.47
01-04-11;0.003;471.32;89.751.534.988.191;86.324.340.289.862;83.138.000.098.074;87.439.702.031.955;80.843.185.943.189;0.043;271.872.915.276.851;104.344.956.637.758;175.552.595.063.376;113.93;4.179;4822.5
01-05-11;0.004;467.728.636.363.636;92.123.225.588.375;88.748.521.356.399;7.742.740.724.738;88.031.372.793.683;81.466.277.217.073;0.0479545454545455;275.408.637.873.754;106.288.293.189.369;177.749.921.096.345;102.7;41.875;4847.87
01-06-11;0.002;469.411.904.761.905;90.310.774.958.732;86.139.616.520.076;71.406.191.964.155;79.917.177.844.651;80.924.774.531.865;0.0513095238095238;277.064.676.616.915;108.013.936.981.758;180.359.708.126.036;95.42;42.825;4795.28
01-07-11;0.001;462.937.142.857.143;83.821.243.713.029;84.286.178.638.832;71.008.847.450.522;78.935.918.388.007;75.952.644.717.562;0.0525;269.935.409.075.853;108.703.689.135.475;182.160.462.901.623;95.7;44.895;4425.98
01-08-11;0.002;466.790.454.545.455;89.527.901.292.153;87.421.665.573.436;70.399.816.195.072;78.408.245.761.719;81.975.671.122.921;0.0525;273.391.764.511.328;111.170.477.096.081;185.311.042.665.785;88.81;41.995;4288.32
01-09-11;0.005;48.369.380.952.381;86.283.372.377.011;84.909.810.748.435;69.475.000.314.214;78.048.877.855.858;78.900.319.655.191;0.0525;276.604.146.100.691;113.222.076.340.902;189.036.488.976.637;79.2;3.152;3888.58
01-10-11;0.005;511.744.210.526.316;96.411.787.767.876;875.473.342.989;7.561.344.149.886;86.047.828.133.561;84.019.665.573.998;0.0525;277.028.000.654.986;114.687.606.844.605;1.925.839.552.972;93.19;3.642;4327.25
01-11-11;0.003;508.437.619.047.619;91.886.234.770.834;92.181.560.206.514;78.852.303.094.981;88.006.320.413.394;87.524.913.550.274;0.0525;274.345.412.993.797;115.762.477.146.588;194.380.498.694.091;100.36;35.735;4161.29
01-12-11;0.006;517.171.904.761.905;10.522.209.462.844;9.439.916.465.245;92.301.776.758.052;10.829.389.276.813;82.678.873.284.102;0.0525;292.165.801.427.644;118.659.523.848.151;196.618.965.768.981;98.83;3.436;4177.53
01-01-12;0.001;501.339.545.454.545;88.713.032.250.922;90.276.104.179.037;98.866.913.551.921;8.519.473.499.314;76.400.141.887.629;0.0510227272727273;294.834.057.383.693;119.718.067.574.915;199.493.737.700.681;98.48;3.797;4260.75
01-02-12;0.004;481.488.571.428.571;84.465.533.568.549;85.444.894.492.219;1.042.028.841.744;80.248.986.268.511;72.582.887.275.885;0.05;286.389.326.659.131;118.494.631.392.232;198.995.745.837.946;107.07;38.795;4535.6
01-03-12;0.002;485.395.454.545.454;92.750.523.087.564;97.044.888.524.054;10.133.419.254.805;90.929.418.451.163;85.619.437.561.336;0.05;287.979.751.733.032;119.450.567.866.573;200.568.512.826.745;103.02;38.295;4671.28
01-04-12;0.001;486.001;9.099.639.371.855;91.688.162.746.742;91.867.274.526.003;90.902.708.119.074;86.629.318.001.115;0.05;294.389.510.151.466;122.126.572.824.306;203.774.216.637.867;104.87;38.295;4585.77
01-05-12;0;497.088.095.238.095;94.222.274.135.565;9.519.957.960.729;85.243.442.634.758;89.735.705.082.838;87.223.172.045.681;0.05;301.849.484.536.082;125.197.295.965.875;206.985.745.059.166;86.53;33.705;4318.16
01-06-12;-0.003;505.628.095.238.095;92.382.307.550.986;90.408.390.017.364;81.448.437.539.013;84.234.540.240.189;87.074.298.748.384;0.05;297.744.684.975.767;127.753.114.354.549;208.910.322.928.756;84.96;34.965;4400.1
01-07-12;0;4.919.345;87.412.213.107.718;88.416.745.320.611;80.532.017.164.639;83.378.553.689.357;82.171.074.080.045;0.05;296.329.261.593.149;128.958.665.800.305;209.297.493.254.015;88.06;34.235;4227.56
01-08-12;0.002;480.994.090.909.091;95.142.311.318.336;92.770.233.017.884;79.319.272.971.214;84.044.443.935.663;87.071.608.290.967;0.05;287.088.666.774.142;12.802.874.416.915;208.338.176.523.714;96.47;34.575;4155.68
01-09-12;0.008;474.971.764.705.882;93.590.323.922.482;80.416.991.997.122;75.305.953.820.334;79.785.691.504.966;83.997.561.430.257;0.05;298.219.792;128.852.575.536.174;208.469.009.858.176;92.19;3.758;4230.42
01-10-12;0.006;475.362.727.272.727;9.820.121.047.737;97.033.260.839.372;82.598.209.543.682;90.171.695.720.939;89.268.152.582.676;0.05;291.373.062.848.051;128.391.354.510.611;207.831.145.123.182;86.24;3.523;4266.35
01-11-12;-0.005;4.805.705;99.387.168.525.943;94.623.088.502.959;8.551.353.503.251;90.546.498.717.959;92.637.797.876.122;0.05;292.025.475.467.476;129.196.044.642.074;210.056.176.798.833;88.91;3.645;4139.99
01-12-12;0;477.128.421.052.632;10.581.858.381.833;93.937.836.103.877;99.544.011.807.995;11.103.385.779.587;87.103.841.041.686;0.05;313.323.996.802.558;130.962.841.036.675;21.114.759.546.542;91.82;36.525;4301.38
01-01-13;0.002;472.668.636.363.636;94.723.121.388.067;92.459.265.480.918;10.602.565.166.713;89.326.114.374.799;79.743.373.312.322;0.05;320.943.880.644.647;131.822.077.703.866;212.831.776.238.455;97.49;37.395;4552.4
01-02-13;0.001;4.723.445;84.352.682.449.535;83.533.854.458.505;11.429.980.277.441;81.517.865.727.972;7.484.685.061.156;0.05;312.971.656.965.955;131.724.039.646.307;213.636.020.123.669;92.05;35.475;4558.46
01-03-13;0.004;472.484;96.989.745.500.533;94.361.155.914.235;11.081.275.854.871;94.762.837.867.372;88.486.109.964.018;0.05;316.391.288.875.818;133.014.724.124.941;215.110.728.552.572;97.23;34.125;4432.14
01-04-13;-0.005;472.137.272.727.273;91.608.029.839.907;95.254.604.095.807;98.398.869.560.796;96.526.891.138.483;89.469.752.838.387;0.05;31.895.280.791.321;135.008.332.820.801;218.922.133.669.416;93.46;31.875;4292.14
01-05-13;0;479.582.857.142.857;9.661.531.997.295;9.553.424.615.476;87.290.715.807.177;93.187.964.293.076;90.023.788.683.568;0.05;32.504.442.316.898;137.269.301.328.489;222.988.484.695.803;91.97;3.3;4191.26
01-06-13;0.006;502.886;10.132.736.619.581;91.159.800.813.479;77.827.868.123.928;85.798.229.500.477;89.915.308.959.929;0.05;329.379.831.932.773;13.874.198.996.244;224.487.183.464.214;96.56;30.575;4029.67
01-07-13;0.003;504.962.272.727.273;96.253.885.351.521;92.636.812.510.083;77.762.541.852.125;84.925.687.648.469;84.283.980.839.797;0.05;329.676.510.910.816;139.239.470.187.766;225.802.894.751.123;105.03;3.125;3732.54
